title,genres,hit-list,recovery_rate,proCm1,proCm2,WriterName,DirectorName,EditorName,main_lead,co_lead1,latestDir,grp_mainLead,grp_co_lead1,grp_writer,grp_Editor,AllGenre,grp_proCm1,grp_proCm2,2ndgrp_mainLead,2ndgrp_co_lead1
Deep Impact,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",2,187.28621866666666,Paramount Pictures,DreamWorks SKG,Alex Humphrey,Mimi Leder,David Rosenbloom,Robert Duvall,Téa Leoni,2,2,0,2,3,"Action,Drama,Romance",6,6,1,0
The Longest Yard,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",2,232.09825365853658,Paramount Pictures,Columbia Pictures Corporation,David Gale,Peter Segal,Jeff Gourson,Adam Sandler,Chris Rock,3,4,2,6,4,"Comedy,Drama",6,6,6,1
Grown Ups 2,"[{""id"": 35, ""name"": ""Comedy""}]",3,308.7303475,Columbia Pictures,Happy Madison Productions,Fred Wolf,Dennis Dugan,Tom Costain,Adam Sandler,Kevin James,4,4,4,3,3,Comedy,5,3,6,2
Get Smart,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",3,288.35681625,Village Roadshow Pictures,Atlas Entertainment,Michael Ewing,Peter Segal,Richard Pearson,Steve Carell,Anne Hathaway,3,5,3,3,3,"Action,Comedy,Thriller",5,3,3,2
Shutter Island,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",3,368.50524375,Paramount Pictures,Appian Way,Petur Hliddal,Martin Scorsese,Thelma Schoonmaker,Leonardo DiCaprio,Mark Ruffalo,6,5,4,3,4,"Drama,Thriller,Mystery",6,4,5,1
Four Christmases,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",2,204.66712125,New Line Cinema,Spyglass Entertainment,Jeff Wexler,Seth Gordon,Stephen Mirrione,Vince Vaughn,Reese Witherspoon,3,4,4,2,6,"Comedy,Romance,Drama",6,6,2,4
Robots,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,347.595992,Blue Sky Studios,Twentieth Century Fox Animation,Augusto Schillaci,Carlos Saldanha,John Carnochan,Robin Williams,Ewan McGregor,5,6,4,3,4,"Animation,Comedy,Family,Science Fiction",5,0,5,3
Face/Off,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",3,307.09518249999996,Paramount Pictures,Permut Presentations,Sally Boldt,John Woo,Steven Kemper,John Travolta,Nicolas Cage,3,6,6,3,3,"Action,Crime,Science Fiction,Thriller",6,0,6,8
Road to Perdition,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 18, ""name"": ""Drama""}]",2,226.25184749999997,DreamWorks SKG,The Zanuck Company,Pamela Lynn Thomas,Sam Mendes,Jill Bilcock,Tom Hanks,Tyler Hoechlin,6,5,0,2,5,"Thriller,Crime,Drama",6,6,8,0
Just Go with It,"[{""id"": 10749, ""name"": ""Romance""}, {""id"": 35, ""name"": ""Comedy""}]",3,268.64800875000003,Columbia Pictures,Happy Madison Productions,James Keys,Dennis Dugan,Tom Costain,Adam Sandler,Jennifer Aniston,4,4,3,3,3,"Romance,Comedy",5,3,6,2
Con Air,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",3,298.68297866666666,Jerry Bruckheimer Films,Kouf/Bigelow Productions,Jacqui Popelka,Simon West,Steve Mirkovich,Nicolas Cage,John Cusack,3,6,3,3,4,"Action,Thriller,Crime",3,0,8,4
Eagle Eye,"[{""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}]",2,222.58321125,DreamWorks SKG,K/O Paper Products,Dan McDermott,D.J. Caruso,Jim Page,Shia LaBeouf,Michelle Monaghan,4,4,2,2,4,"Mystery,Thriller,Action",6,0,3,0
Cold Mountain,"[{""id"": 18, ""name"": ""Drama""}]",2,219.0044417721519,Miramax Films,Mirage Enterprises,Stewart Whelan,Anthony Minghella,Walter Murch,Jude Law,Nicole Kidman,4,2,3,4,6,Drama,6,0,3,4
The Book of Eli,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,196.38469375,Alcon Entertainment,Silver Pictures,George Fisher,Allen Hughes,Cindy Mollo,Denzel Washington,Gary Oldman,4,4,4,4,2,"Action,Thriller,Science Fiction",5,5,8,2
Flubber,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,222.4715325,Walt Disney Pictures,Great Oaks Entertainment,Matsune Suzuki,Les Mayfield,Harvey Rosenstock,Robin Williams,Marcia Gay Harden,2,6,0,2,3,"Comedy,Family,Science Fiction",6,0,5,0
The Haunting,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 9648, ""name"": ""Mystery""}]",2,113.98613124999999,DreamWorks,Roth-Arnold Productions,Paula Lucchesi,Jan de Bont,Michael Kahn,Liam Neeson,Catherine Zeta-Jones,5,6,4,2,6,"Horror,Thriller,Fantasy,Mystery",4,0,5,1
Space Jam,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",3,312.75,Warner Bros. Family Entertainment,Northern Lights Entertainment,Roger Daniell,Joe Pytka,Sheldon Kahn,Michael Jordan,Wayne Knight,3,3,0,3,6,"Animation,Comedy,Drama,Family,Fantasy",3,0,1,0
The Day the Earth Stood Still,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",3,291.36732374999997,Twentieth Century Fox Film Corporation,Dune Entertainment III,Maja Aro,Scott Derrickson,Wayne Wahrman,Keanu Reeves,Jennifer Connelly,6,5,2,3,3,"Drama,Science Fiction,Thriller",6,0,5,1
Conspiracy Theory,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",2,182.64377866666666,Silver Pictures,Warner Bros.,Kris Cole,Richard Donner,Kevin Stitt,Mel Gibson,Julia Roberts,6,6,6,4,5,"Action,Drama,Mystery,Thriller",5,6,6,5
Fury,"[{""id"": 10752, ""name"": ""War""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",3,311.4969205882353,Columbia Pictures,QED International,Sean Button,David Ayer,Jay Cassidy,Brad Pitt,Shia LaBeouf,4,5,4,5,4,"War,Drama,Action",5,0,6,3
Six Days Seven Nights,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",2,234.2857142857143,Caravan Pictures,Roger Birnbaum Productions,Kapu Alquiza,Ivan Reitman,Sheldon Kahn,Harrison Ford,Anne Heche,6,6,0,2,6,"Action,Adventure,Comedy,Romance",2,0,7,0
Spirit: Stallion of the Cimarron,"[{""id"": 37, ""name"": ""Western""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",2,153.20442375000002,DreamWorks SKG,DreamWorks Animation,Michael Isaak,Lorna Cook,Clare De Chenu,Matt Damon,James Cromwell,2,4,1,2,4,"Western,Animation,Adventure,Comedy,Family",6,3,7,1
Lost in Space,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,170.19927875000002,New Line Cinema,Irwin Allen Productions,Paul Grace,Stephen Hopkins,Ray Lovejoy,Gary Oldman,William Hurt,3,4,1,2,5,"Adventure,Family,Science Fiction",6,0,2,0
The Manchurian Candidate,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 9648, ""name"": ""Mystery""}]",2,120.13245500000001,Paramount Pictures,Scott Rudin Productions,Gregg Harris,Jonathan Demme,Carol Littleton,Denzel Washington,Meryl Streep,6,4,5,2,6,"Drama,Thriller,Mystery",6,3,8,5
Fantasia 2000,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 10402, ""name"": ""Music""}]",2,113.5932125,Walt Disney Pictures,,Ottorino Respighi,Pixote Hunt,Jessica Ambinder-Rojas,Steve Martin,Itzhak Perlman,2,4,0,2,2,"Animation,Family,Music",6,6,3,0
The Time Machine,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",2,154.66146999999998,DreamWorks SKG,Warner Bros.,Rachel Wyn Dunn,Simon Wells,Wayne Wahrman,Guy Pearce,Mark Addy,2,3,1,3,3,"Science Fiction,Adventure,Action",6,6,2,1
Swordfish,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",2,144.19648333333333,Village Roadshow Pictures,NPV Entertainment,Paul Winze,Dominic Sena,Stephen E. Rivkin,John Travolta,Hugh Jackman,3,6,4,2,2,"Action,Crime,Thriller",5,0,6,3
The Legend of Zorro,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2,189.86675333333335,Amblin Entertainment,Columbia Pictures Corporation,Tomas Owen,Martin Campbell,Stuart Baird,Antonio Banderas,Catherine Zeta-Jones,4,4,4,2,6,"Action,Adventure",6,6,4,1
What Dreams May Come,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 10749, ""name"": ""Romance""}]",1,84.10005058823529,PolyGram Filmed Entertainment,,Eugenio Zanetti,Vincent Ward,Maysie Hoy,Robin Williams,Cuba Gooding Jr.,1,6,3,1,1,"Drama,Fantasy,Romance",5,6,5,2
The Brothers Grimm,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 53, ""name"": ""Thriller""}]",2,119.67757613636363,The Weinstein Company,Summit Entertainment,Craig Rowe,Terry Gilliam,Lesley Walker,Heath Ledger,Matt Damon,4,5,4,2,5,"Adventure,Fantasy,Action,Comedy,Thriller",6,6,3,7
Mars Attacks!,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,144.81573857142857,Tim Burton Productions,,George Fisher,Tim Burton,Chris Lebenzon,Jack Nicholson,Glenn Close,5,6,2,4,4,"Comedy,Fantasy,Science Fiction",2,6,3,1
Surrogates,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2,153.05596500000001,Touchstone Pictures,Mandeville Films,Brian Avery,Jonathan Mostow,Kevin Stitt,Bruce Willis,Radha Mitchell,2,6,2,4,5,"Action,Science Fiction,Thriller",6,0,8,1
Thirteen Days,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 53, ""name"": ""Thriller""}]",1,43.2084325,New Line Cinema,Tig Productions,Barbara Issak,Roger Donaldson,Conrad Buff IV,Kevin Costner,Bruce Greenwood,3,6,0,1,5,"Drama,Thriller",6,6,6,0
Daylight,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",2,199.01558625,Universal Pictures,Davis Entertainment,Claudia Mullaly,Rob Cohen,Peter Amundson,Sylvester Stallone,Amy Brenneman,6,6,0,2,3,"Action,Adventure,Thriller",6,3,6,0
Battlefield Earth,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 10752, ""name"": ""War""}]",1,48.63636363636364,Franchise Pictures,Warner Bros.,Brett Paton,Roger Christian,Robin Russell,John Travolta,Barry Pepper,1,6,1,4,2,"Action,Science Fiction,War",3,6,6,0
Looney Tunes: Back in Action,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",1,85.643555,Lonely Film Productions GmbH & Co. KG.,Warner Bros. Animation,Steve Lee,Joe Dante,Rick Finney,Brendan Fraser,Jenna Elfman,6,3,0,1,2,"Animation,Comedy,Family",1,1,3,0
Timeline,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",1,24.35092375,Paramount Pictures,Donners' Company,Alain Bernard,Richard Donner,Richard Marks,Paul Walker,Frances O'Connor,6,4,0,1,4,"Action,Adventure,Science Fiction",6,2,4,0
The Postman,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 12, ""name"": ""Adventure""}]",1,22.0327925,Tig Productions,Warner Bros.,David Brin,Kevin Costner,Peter Boyle,Kevin Costner,Will Patton,6,6,0,1,4,"Drama,Adventure",6,6,6,0
Babe: Pig in the City,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}]",1,76.81317777777778,Kennedy Miller Productions,,Sharon Ross,George Miller,Margaret Sixel,James Cromwell,Mary Stein,6,1,0,1,3,"Adventure,Comedy,Drama,Family,Fantasy",6,6,1,0
The Last Witch Hunter,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2,163.26323333333332,Summit Entertainment,Atmosphere Entertainment MM,Tom Wood,Breck Eisner,Dean Zimmerman,Vin Diesel,Rose Leslie,3,4,0,2,3,"Fantasy,Action,Adventure",6,0,4,0
Red Planet,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",1,41.82996125,Village Roadshow Pictures,NPV Entertainment,Suzanne Lowe,Antony Hoffman,Robert K. Lambert,Val Kilmer,Carrie-Anne Moss,1,3,1,1,3,"Thriller,Action,Science Fiction",5,0,3,1
Arthur and the Invisibles,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",2,125.5165534883721,Canal Plus,Sofica Europacorp,Mali Cilla,Luc Besson,Karim Benhammouda,Freddie Highmore,Mia Farrow,3,3,5,2,2,"Adventure,Fantasy,Animation,Family",3,0,2,1
A Sound of Thunder,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",1,7.487050000000001,Epsilon Motion Pictures,Franchise Pictures,Joshua Oppenheimer,Peter Hyams,Sylvie Landra,Heike Makatsch,Armin Rohde,3,1,0,1,3,"Thriller,Science Fiction,Adventure,Action",2,3,1,0
Pompeii,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 18, ""name"": ""Drama""}]",1,90.63971615384615,Impact Pictures,TriStar Pictures,Anthony Rizzo,Paul W.S. Anderson,Michele Conroy,Kit Harington,Carrie-Anne Moss,4,1,1,3,5,"Action,Adventure,History,Romance,Drama",4,4,1,1
A Beautiful Mind,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}]",4,522.5705683333333,Imagine Entertainment,DreamWorks SKG,Lyn Pinezich,Ron Howard,Mike Hill,Russell Crowe,Ed Harris,4,4,2,4,4,"Drama,Romance",6,6,4,1
The Lion King,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 18, ""name"": ""Drama""}]",6,1751.6483911111113,Walt Disney Pictures,Walt Disney Feature Animation,Andrew Gaskill,Rob Minkoff,Ivan Bilancio,Jonathan Taylor Thomas,Matthew Broderick,6,6,4,6,6,"Family,Animation,Drama",6,0,1,2
Journey 2: The Mysterious Island,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,450.244,New Line Cinema,Contrafilm,Christie Kwan,Brad Peyton,David Rennie,Dwayne Johnson,Josh Hutcherson,3,4,3,3,3,"Adventure,Action,Science Fiction",6,0,6,1
Cloudy with a Chance of Meatballs 2,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",3,318.4418217948718,Columbia Pictures,Sony,Daniel Erickson,Kris Pearn,Robert Fisher Jr.,Bill Hader,Anna Faris,3,3,4,3,3,"Animation,Family,Comedy",5,0,1,2
Red Dragon,"[{""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 27, ""name"": ""Horror""}]",3,268.2003820512821,Universal Pictures,Metro-Goldwyn-Mayer (MGM),Andrew Z. Davis,Brett Ratner,Mark Helfrich,Anthony Hopkins,Edward Norton,3,4,2,3,3,"Crime,Thriller,Horror",6,6,3,3
Hidalgo,"[{""id"": 37, ""name"": ""Western""}, {""id"": 12, ""name"": ""Adventure""}]",2,108.10345,Casey Silver Productions,Touchstone Pictures,Jae Cheol Hong,Joe Johnston,Robert Dalva,Viggo Mortensen,Zuleikha Robinson,3,2,0,2,6,"Western,Adventure",2,6,2,0
Jack and Jill,"[{""id"": 35, ""name"": ""Comedy""}]",2,189.4604911392405,Columbia Pictures,Happy Madison Productions,Ronit Ravich-Boss,Dennis Dugan,Tom Costain,Adam Sandler,Katie Holmes,4,4,2,2,3,Comedy,5,3,6,1
2 Fast 2 Furious,"[{""id"": 28, ""name"": ""Action""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 53, ""name"": ""Thriller""}]",3,310.9877118421052,Mikona Productions GmbH & Co. KG,Universal Pictures,Brian McGee,John Singleton,Bruce Cannon,Paul Walker,Tyrese Gibson,4,4,2,3,4,"Action,Crime,Thriller",3,6,4,1
The Invasion,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",1,18.8393925,Village Roadshow Pictures,Vertigo Entertainment,Michael Herbick,James McTeigue,Joel Negron,Nicole Kidman,Daniel Craig,2,3,4,1,4,"Science Fiction,Thriller",5,4,4,3
The Adventures of Rocky & Bullwinkle,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",1,46.23002631578947,Universal Pictures,Capella International,Heiko Drengenberg,Des McAnuff,Dennis Virkler,Rene Russo,Jason Alexander,1,1,0,1,3,"Action,Adventure,Animation,Comedy,Family",6,0,1,0
The Secret Life of Pets,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}]",5,1167.9444106666667,Universal Pictures,Fuji Television Network,Robert Taylor,Chris Renaud,Ken Schretzmann,Louis C.K.,Eric Stonestreet,5,5,0,5,5,"Animation,Family",6,0,1,0
The League of Extraordinary Gentlemen,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,229.82718461538462,Twentieth Century Fox Film Corporation,JD Productions,Matthew Muntean,Stephen Norrington,Paul Rubell,Sean Connery,Peta Wilson,3,6,0,2,3,"Fantasy,Action,Thriller,Science Fiction",6,0,5,0
Despicable Me 2,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",5,1277.318269736842,Universal Pictures,Illumination Entertainment,Claire Dodgson,Chris Renaud,Claire Dodgson,Steve Carell,Kristen Wiig,5,5,4,6,6,"Animation,Comedy,Family",6,0,3,1
Independence Day,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",5,1089.2923573333333,Twentieth Century Fox Film Corporation,Centropolis Entertainment,Marvel Wakefield,Roland Emmerich,David Brenner,Will Smith,Bill Pullman,5,5,2,5,5,"Action,Adventure,Science Fiction",6,2,6,1
The Lost World: Jurassic Park,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,313.8007178082192,Universal Pictures,Amblin Entertainment,Adria Later,Steven Spielberg,Michael Kahn,Jeff Goldblum,Julianne Moore,6,3,5,3,6,"Adventure,Action,Science Fiction",6,6,1,3
Madagascar,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 16, ""name"": ""Animation""}]",4,710.2408946666667,DreamWorks SKG,Pacific Data Images (PDI),Corban Gossett,Tom McGrath,Clare De Chenu,Ben Stiller,Chris Rock,4,4,2,4,4,"Family,Animation",6,2,6,1
Children of Men,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 878, ""name"": ""Science Fiction""}]",1,92.05230394736842,Universal Pictures,Strike Entertainment,Brian Hathaway,Alfonso Cuarón,Alex Rodríguez,Clive Owen,Michael Caine,4,3,3,4,4,"Drama,Action,Thriller,Science Fiction",6,0,3,2
X-Men,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,395.11936933333334,Twentieth Century Fox Film Corporation,Donners' Company,Alyssa Fong,Bryan Singer,Kevin Stitt,Patrick Stewart,Hugh Jackman,3,3,4,3,5,"Adventure,Action,Science Fiction",6,2,3,3
Wanted,"[{""id"": 28, ""name"": ""Action""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",3,344.36001066666665,Universal Pictures,Spyglass Entertainment,Stana Slosserova,Timur Bekmambetov,David Brenner,Angelina Jolie,James McAvoy,4,3,3,3,5,"Action,Thriller,Crime",6,6,4,2
The Rock,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",3,446.75016133333327,Hollywood Pictures,Don Simpson/Jerry Bruckheimer Films,Keith A. Wester,Michael Bay,Richard Francis-Bruce,Sean Connery,Nicolas Cage,4,6,6,3,5,"Action,Adventure,Thriller",3,0,5,8
Ice Age: The Meltdown,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 12, ""name"": ""Adventure""}]",4,826.175975,Blue Sky Studios,Twentieth Century Fox Animation,Arun Ram-Mohan,Carlos Saldanha,Tim Nordquist,Ray Romano,John Leguizamo,5,5,5,4,4,"Animation,Family,Comedy,Adventure",5,0,2,1
50 First Dates,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 10749, ""name"": ""Romance""}]",3,261.977176,Columbia Pictures Corporation,Happy Madison Productions,Daniel Brock,Peter Segal,Jeff Gourson,Adam Sandler,Drew Barrymore,3,4,4,3,4,"Comedy,Romance",6,3,6,3
Exorcist: The Beginning,"[{""id"": 27, ""name"": ""Horror""}, {""id"": 9648, ""name"": ""Mystery""}, {""id"": 53, ""name"": ""Thriller""}]",1,97.5007325,Morgan Creek Productions,Dominion Productions,David C. Robinson,Renny Harlin,Todd E. Miller,Stellan Skarsgård,Izabella Scorupco,5,1,0,2,5,"Horror,Mystery,Thriller",2,0,1,0
Now You See Me,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 80, ""name"": ""Crime""}]",2,156.93185866666667,Summit Entertainment,K/O Paper Products,Yuhon Ng,Louis Leterrier,Vincent Tabaillon,Jesse Eisenberg,Mark Ruffalo,3,4,4,4,3,"Thriller,Crime",6,0,2,1
The Terminal,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}]",3,365.695425,DreamWorks SKG,Amblin Entertainment,Julia Nessling-Douglas,Steven Spielberg,Michael Kahn,Tom Hanks,Catherine Zeta-Jones,6,5,4,3,6,"Comedy,Drama",6,6,8,1
Vertical Limit,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",3,287.55181200000004,Columbia Pictures Corporation,Global Entertainment Productions GmbH & Company Medien KG,B.J. Rogers,Martin Campbell,Thom Noble,Chris O'Donnell,Robin Tunney,4,3,2,3,5,"Action,Adventure,Thriller",6,0,1,1
Charlie Wilson's War,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}]",2,158.66721333333334,Universal Pictures,Participant Productions,Gary Goetzman,Mike Nichols,Antonia Van Drimmelen,Tom Hanks,Philip Seymour Hoffman,3,5,4,2,3,"Comedy,Drama,History",6,0,8,1
Shark Tale,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 10751, ""name"": ""Family""}]",3,489.7000253333333,DreamWorks SKG,Pacific Data Images (PDI),Doug Cooper,Rob Letterman,Peter Lonsdale,Will Smith,Robert De Niro,3,5,6,3,3,"Animation,Action,Comedy,Family",6,2,6,7
Dreamgirls,"[{""id"": 18, ""name"": ""Drama""}]",2,221.33954285714287,Paramount Pictures,DreamWorks SKG,Matthew Rush Sullivan,Bill Condon,Virginia Katz,Jamie Foxx,Beyoncé Knowles,4,3,0,2,2,Drama,6,6,3,0
Be Cool,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 80, ""name"": ""Crime""}]",2,179.67191698113209,Double Feature Films,Jersey Films,Harold Parker,F. Gary Gray,Sheldon Kahn,John Travolta,Uma Thurman,4,6,4,3,6,"Comedy,Crime",3,3,6,1
Munich,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}, {""id"": 36, ""name"": ""History""}, {""id"": 53, ""name"": ""Thriller""}]",2,186.2270157142857,DreamWorks SKG,Universal Pictures,Christopher Scarabosio,Steven Spielberg,Michael Kahn,Eric Bana,Daniel Craig,6,3,4,2,6,"Drama,Action,History,Thriller",6,6,2,3
Tears of the Sun,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10752, ""name"": ""War""}]",2,122.33208285714285,Columbia Pictures,Revolution Studios,Beanie Barnes,Antoine Fuqua,Christopher Holmes,Bruce Willis,Monica Bellucci,3,6,0,2,2,"Action,Drama,War",5,3,8,0
