title,genres,hit-list,recovery_rate,proCm1,proCm2,WriterName,DirectorName,EditorName,main_lead,co_lead1,latestDir,grp_mainLead,grp_co_lead1,grp_writer,grp_Editor,AllGenre,grp_proCm1,grp_proCm2,2ndgrp_mainLead,2ndgrp_co_lead1
The Avengers,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",4,690.708140909091,Paramount Pictures,Marvel Studios,Mike Marcuzzi,Joss Whedon,Lisa Lassek,Robert Downey Jr.,Chris Evans,4,4,3,4,4,"Science Fiction,Action,Adventure",6,4,4,3
Pirates of the Caribbean: On Stranger Tides,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 14, ""name"": ""Fantasy""}]",3,275.1878426315789,Walt Disney Pictures,Jerry Bruckheimer Films,Lee Orloff,Rob Marshall,Wyatt Smith,Johnny Depp,Penélope Cruz,4,4,4,5,3,"Adventure,Action,Fantasy",6,3,8,1
Men in Black 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 35, ""name"": ""Comedy""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,277.3452337777778,Amblin Entertainment,Media Magik Entertainment,Mark Aaron Wagner,Barry Sonnenfeld,Don Zimmerman,Will Smith,Tommy Lee Jones,4,5,4,4,4,"Action,Comedy,Science Fiction",6,0,6,3
The Hobbit: The Battle of the Five Armies,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",3,382.4079152,WingNut Films,New Line Cinema,John Mckay,Peter Jackson,Jabez Olssen,Martin Freeman,Ian McKellen,5,3,3,3,5,"Action,Adventure,Fantasy",5,6,2,1
The Amazing Spider-Man,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",3,349.8678404651163,Columbia Pictures,Laura Ziskin Productions,Jatinder Singh Manhas,Marc Webb,Alan Edward Bell,Andrew Garfield,Emma Stone,4,3,5,3,4,"Action,Adventure,Fantasy",5,3,1,1
Robin Hood,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",2,155.33477,Imagine Entertainment,Universal Pictures,Heather Noble,Ridley Scott,Pietro Scalia,Russell Crowe,Cate Blanchett,5,4,4,2,6,"Action,Adventure",6,6,4,3
The Hobbit: The Desolation of Smaug,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",3,383.36,WingNut Films,New Line Cinema,Chrissy Metge,Peter Jackson,Jabez Olssen,Martin Freeman,Ian McKellen,5,3,3,3,5,"Adventure,Fantasy",5,6,2,1
The Golden Compass,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",2,206.79714666666666,New Line Cinema,Ingenious Film Partners,Nikki Clapp,Chris Weitz,Anne V. Coates,Dakota Blue Richards,Nicole Kidman,6,2,3,2,4,"Adventure,Fantasy",6,5,1,4
King Kong,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 28, ""name"": ""Action""}]",3,265.7004830917874,WingNut Films,Universal Pictures,Shona McCullagh,Peter Jackson,Jamie Selkirk,Naomi Watts,Jack Black,5,3,3,3,5,"Adventure,Drama,Action",5,6,3,3
Titanic,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 10749, ""name"": ""Romance""}, {""id"": 53, ""name"": ""Thriller""}]",5,922.517094,Paramount Pictures,Twentieth Century Fox Film Corporation,Annie Townsend,James Cameron,Conrad Buff IV,Kate Winslet,Leonardo DiCaprio,5,5,5,5,5,"Drama,Romance,Thriller",6,6,2,5
Captain America: Civil War,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,461.321798,Studio Babelsberg,Marvel Studios,Scheryl W Brown,Joe Russo,Jeffrey Ford,Chris Evans,Robert Downey Jr.,3,3,4,3,3,"Adventure,Action,Science Fiction",3,4,3,4
Battleship,"[{""id"": 53, ""name"": ""Thriller""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,144.98827033492822,Universal Pictures,Hasbro,Jeremy Stewart,Peter Berg,Billy Rich,Taylor Kitsch,Alexander Skarsgård,3,2,2,3,2,"Thriller,Action,Adventure,Science Fiction",6,0,1,1
Jurassic World,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",5,1009.0192066666667,Universal Studios,Amblin Entertainment,Matt Thompson,Colin Trevorrow,Kevin Stitt,Chris Pratt,Bryce Dallas Howard,5,5,3,5,5,"Action,Adventure,Science Fiction,Thriller",5,6,1,2
Skyfall,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}]",4,554.2805065,Columbia Pictures,,Sian Milne,Sam Mendes,Stuart Baird,Daniel Craig,Judi Dench,6,4,4,4,6,"Action,Adventure,Thriller",5,6,3,1
Spider-Man 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",3,391.8831705,Columbia Pictures,Laura Ziskin Productions,Carey Smith,Sam Raimi,Bob Murawski,Tobey Maguire,Kirsten Dunst,6,4,3,3,4,"Action,Adventure,Fantasy",5,3,2,3
Iron Man 3,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",4,607.7199969999999,Marvel Studios,,Luke Kalteux,Shane Black,Peter S. Elliot,Robert Downey Jr.,Gwyneth Paltrow,4,4,5,6,4,"Action,Adventure,Science Fiction",4,6,4,2
Alice in Wonderland,"[{""id"": 10751, ""name"": ""Family""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}]",4,512.745555,Walt Disney Pictures,Team Todd,Ian Blum,Tim Burton,Chris Lebenzon,Mia Wasikowska,Johnny Depp,5,4,4,4,4,"Family,Fantasy,Adventure",6,2,1,8
X-Men: The Last Stand,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2,218.74264523809526,Ingenious Film Partners,Twentieth Century Fox Film Corporation,Luca Marco Paracels,Brett Ratner,Julia Wong,Hugh Jackman,Halle Berry,3,4,5,4,2,"Adventure,Action,Science Fiction,Thriller",5,6,3,2
Transformers: Revenge of the Fallen,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",4,557.5314853333333,Paramount Pictures,DreamWorks SKG,Brian Avery,Michael Bay,Tom Muldoon,Shia LaBeouf,Megan Fox,4,4,3,4,4,"Science Fiction,Action,Adventure",6,6,3,1
Transformers: Age of Extinction,"[{""id"": 878, ""name"": ""Science Fiction""}, {""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}]",4,519.7167128571429,Paramount Pictures,Amblin Entertainment,Luca Marco Paracels,Michael Bay,Roger Barton,Mark Wahlberg,Stanley Tucci,4,5,0,4,4,"Science Fiction,Action,Adventure",6,6,7,0
Oz: The Great and Powerful,"[{""id"": 14, ""name"": ""Fantasy""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 10751, ""name"": ""Family""}]",2,245.934274,Walt Disney Pictures,Roth Films,Jatinder Singh Manhas,Sam Raimi,Bob Murawski,James Franco,Mila Kunis,6,4,5,3,4,"Fantasy,Adventure,Family",6,0,3,1
The Amazing Spider-Man 2,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}]",3,352.85871599999996,Columbia Pictures,Marvel Enterprises,Jessica Wolff,Marc Webb,Pietro Scalia,Andrew Garfield,Emma Stone,4,3,5,3,6,"Action,Adventure,Fantasy",5,0,1,1
Cars 2,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 35, ""name"": ""Comedy""}]",3,279.926198,Walt Disney Pictures,Pixar Animation Studios,Lucy Laliberte,Brad Lewis,Stephen Schaffer,Owen Wilson,Larry the Cable Guy,3,5,0,3,4,"Animation,Family,Adventure,Comedy",6,5,4,0
Toy Story 3,"[{""id"": 16, ""name"": ""Animation""}, {""id"": 10751, ""name"": ""Family""}, {""id"": 35, ""name"": ""Comedy""}]",4,533.4848515,Walt Disney Pictures,Pixar Animation Studios,Terry Claborn,Lee Unkrich,Ken Schretzmann,Tom Hanks,Tim Allen,4,5,4,4,5,"Animation,Family,Comedy",6,5,8,3
Terminator Salvation,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",2,185.6765005,Columbia Pictures,The Halcyon Company,Carole A. Kenneally,McG,Conrad Buff IV,Christian Bale,Sam Worthington,3,4,5,2,5,"Action,Science Fiction,Thriller",5,0,6,2
Furious 7,"[{""id"": 28, ""name"": ""Action""}]",4,792.7628210526316,Universal Pictures,Original Film,Daniel Barrett,James Wan,Dylan Highsmith,Vin Diesel,Paul Walker,6,4,4,4,4,Action,6,4,4,4
World War Z,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 27, ""name"": ""Horror""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 53, ""name"": ""Thriller""}]",3,265.9325,Paramount Pictures,GK Films,Matt Johnson,Marc Forster,Matt Chesse,Brad Pitt,Mireille Enos,5,5,0,3,5,"Action,Drama,Horror,Science Fiction,Thriller",6,4,6,0
X-Men: Days of Future Past,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 14, ""name"": ""Fantasy""}, {""id"": 878, ""name"": ""Science Fiction""}]",3,299.14511,Twentieth Century Fox Film Corporation,Donners' Company,Mirela Rupic,Bryan Singer,John Ottman,Hugh Jackman,James McAvoy,3,4,3,3,3,"Action,Adventure,Fantasy,Science Fiction",6,2,3,2
Star Trek Into Darkness,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 878, ""name"": ""Science Fiction""}]",2,245.98170842105262,Paramount Pictures,Skydance Productions,Karen Iverson,J.J. Abrams,Mary Jo Markey,Chris Pine,Zachary Quinto,4,3,0,2,4,"Action,Adventure,Science Fiction",6,0,2,0
